DATAFLOW,LAST UPDATE,freq,src_crf,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Austria,1990,8.6,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Austria,1991,8.3,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Austria,1992,8.1,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Austria,1993,7.8,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Austria,1994,8.1,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Austria,1995,7.8,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Austria,1996,8.6,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Austria,1997,7.7,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Austria,1998,7.8,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Austria,1999,7.4,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Austria,2000,7.9,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Austria,2001,7.6,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Austria,2002,8.8,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Austria,2003,10.0,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Austria,2004,9.3,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Austria,2005,9.5,,
